"","Position","Player","Tour_Match","Team","Metres_Gained","Carries","Passes","Tackles","Missed_Tackles","Turnovers_Won","Turnovers_Conceded","Defenders_Beaten","Try_Assists","Offloads","Clean_Breaks","Lineouts_Won","Lineouts_Stolen","Match_Data_File"
"145",9,"Rhys Webb","M4","BIL",58,8,43,6,1,NA,5,5,NA,NA,2,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"146",1,"Joe Marler","M4","BIL",1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"147",2,"Rory Best","M4","BIL",NA,4,4,7,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"148",3,"Kyle Sinckler","M4","BIL",23,4,3,7,1,NA,NA,1,NA,NA,1,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"149",4,"Courtney Lawes","M4","BIL",13,6,1,3,1,NA,NA,1,NA,1,NA,2,1,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"150",5,"Iain Henderson","M4","BIL",24,12,4,9,NA,NA,1,3,NA,1,1,3,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"151",6,"James Haskell","M4","BIL",1,5,2,10,1,1,1,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"152",7,"Sam Warburton","M4","BIL",8,4,NA,6,NA,NA,1,1,NA,NA,NA,1,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"153",8,"CJ Stander","M4","BIL",48,22,4,13,2,3,NA,1,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"154",16,"Ken Owens","M4","BIL",1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"155",17,"Jack McGrath","M4","BIL",5,3,1,4,NA,NA,NA,2,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"156",18,"Dan Cole","M4","BIL",NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"157",19,"Alun Wyn Jones","M4","BIL",NA,4,1,4,1,NA,1,NA,NA,1,NA,1,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"158",20,"Justin Tipuric","M4","BIL",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"159",21,"Greig Laidlaw","M4","BIL",NA,1,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"160",22,"Owen Farrell","M4","BIL",13,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"161",23,"Elliot Daly","M4","BIL",11,3,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"162",15,"Richard Buckman","M4","Highlanders",18,5,11,5,NA,NA,NA,1,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"163",14,"Waisake Naholo","M4","Highlanders",71,13,9,1,3,1,1,4,NA,2,3,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"164",13,"Malakai Fekitoa ","M4","Highlanders",42,11,5,8,3,1,2,1,NA,2,1,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"165",12,"Teihorangi Walden","M4","Highlanders",9,11,3,9,1,1,4,1,NA,NA,1,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"166",11,"Tevita Li ","M4","Highlanders",99,9,4,3,1,NA,2,3,NA,1,2,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"167",10,"Lima Sopoaga ","M4","Highlanders",37,9,18,5,NA,NA,2,1,NA,2,NA,2,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"168",9,"Kayne Hammington ","M4","Highlanders",1,1,75,7,2,NA,1,NA,1,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"169",1,"Dan Lienert-Brown ","M4","Highlanders",10,7,3,5,3,NA,NA,NA,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"170",2,"Liam Coltman ","M4","Highlanders",6,13,3,11,2,NA,1,NA,NA,1,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"171",3,"Siate Tokolahi ","M4","Highlanders",2,5,1,8,2,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"172",4,"Alex Ainley ","M4","Highlanders",3,4,NA,11,1,NA,1,2,NA,NA,NA,1,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"173",5,"Jackson Hemopo","M4","Highlanders",3,4,4,13,NA,2,NA,NA,NA,1,NA,1,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"174",6,"Gareth Evans","M4","Highlanders",31,8,5,9,3,NA,NA,2,NA,2,1,2,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"175",7,"Dillon Hunt ","M4","Highlanders",9,4,2,11,NA,2,1,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"176",8,"Luke Whitelock","M4","Highlanders",8,10,3,17,1,NA,2,NA,NA,NA,NA,2,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"177",16,"Greg Pleasants-Tate ","M4","Highlanders",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"178",17,"Aki Seiuli ","M4","Highlanders",NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"179",18,"Siua Halanukonuka ","M4","Highlanders",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"180",19,"Josh Dickson ","M4","Highlanders",1,2,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"181",20,"James Lentjes ","M4","Highlanders",6,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"182",21,"Josh Renton ","M4","Highlanders",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"183",22,"Marty Banks ","M4","Highlanders",7,4,4,1,NA,NA,1,NA,NA,2,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"184",23,"Patrick Osborne ","M4","Highlanders",NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M4-British & Irish Lions _ Highlanders v British & Irish Lions.html"
"185",15,"Leigh Halfpenny","M5","BIL",53,10,8,3,NA,NA,NA,NA,NA,1,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"186",14,"Anthony Watson","M5","BIL",7,7,3,4,1,1,NA,2,NA,2,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"187",13,"Jonathan Davies","M5","BIL",69,9,4,2,1,NA,1,5,NA,NA,1,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"188",12,"Ben Te'o","M5","BIL",72,13,5,7,NA,NA,NA,4,NA,3,1,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"189",11,"George North","M5","BIL",32,5,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"190",10,"Jonathan Sexton","M5","BIL",3,5,18,3,1,1,1,1,NA,2,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"191",9,"Conor Murray","M5","BIL",9,8,55,6,1,1,NA,NA,NA,NA,1,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"192",1,"Mako Vunipola","M5","BIL",7,6,NA,10,1,1,NA,1,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"193",2,"Jamie George","M5","BIL",4,5,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"194",3,"Tadhg Furlong","M5","BIL",7,3,4,5,NA,NA,NA,NA,NA,1,1,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"195",4,"Maro Itoje","M5","BIL",21,13,1,8,NA,2,3,1,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"196",5,"George Kruis","M5","BIL",3,6,2,4,NA,NA,NA,NA,NA,NA,NA,4,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"197",6,"Peter O'Mahony","M5","BIL",1,3,5,1,NA,NA,NA,NA,NA,NA,NA,2,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"198",7,"Sean O'Brien","M5","BIL",25,13,4,3,1,2,2,2,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"199",8,"Taulupe Faletau","M5","BIL",29,12,6,7,NA,1,NA,3,NA,NA,NA,2,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"200",16,"Ken Owens","M5","BIL",2,6,4,2,NA,NA,1,1,NA,1,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"201",17,"Jack McGrath","M5","BIL",4,3,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"202",18,"Kyle Sinckler","M5","BIL",NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"203",19,"Iain Henderson","M5","BIL",20,5,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"204",20,"Sam Warburton","M5","BIL",1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"205",21,"Greig Laidlaw","M5","BIL",2,2,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"206",22,"Dan Biggar","M5","BIL",NA,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"207",23,"Elliot Daly","M5","BIL",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"208",15,"James Lowe","M5","Maori All Blacks",13,7,5,3,2,NA,3,2,NA,NA,1,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"209",14,"Nehe Milner-Skudder","M5","Maori All Blacks",12,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"210",13,"Matt Proctor ","M5","Maori All Blacks",NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"211",12,"Charlie Ngatai","M5","Maori All Blacks",1,3,3,8,2,1,NA,1,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"212",11,"Rieko Ioane","M5","Maori All Blacks",12,4,NA,5,4,NA,2,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"213",10,"Damian McKenzie ","M5","Maori All Blacks",23,7,9,6,2,NA,3,NA,NA,1,NA,2,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"214",9,"Tawera Kerr-Barlow ","M5","Maori All Blacks",3,2,27,7,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"215",1,"Kane Hames ","M5","Maori All Blacks",4,4,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"216",2,"Ash Dixon ","M5","Maori All Blacks",8,5,NA,12,1,NA,NA,1,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"217",3,"Ben May ","M5","Maori All Blacks",4,2,NA,11,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"218",4,"Joseph Wheeler ","M5","Maori All Blacks",3,2,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"219",5,"Thomas Franklin","M5","Maori All Blacks",8,5,NA,10,1,NA,2,1,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"220",6,"Akira Ioane","M5","Maori All Blacks",18,6,3,17,NA,NA,NA,2,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"221",7,"Elliot Dixon ","M5","Maori All Blacks",2,3,2,12,NA,1,NA,NA,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"222",8,"Liam Messam","M5","Maori All Blacks",21,8,5,11,2,NA,3,NA,NA,NA,NA,1,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"223",16,"Hikawera Elliot ","M5","Maori All Blacks",NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"224",17,"Chris Eves ","M5","Maori All Blacks",NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"225",18,"Marcel Renata ","M5","Maori All Blacks",NA,2,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"226",19,"Leighton Price ","M5","Maori All Blacks",2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"227",20,"Kara Pryor ","M5","Maori All Blacks",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"228",21,"Bryn Hall ","M5","Maori All Blacks",2,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"229",22,"Ihaia West ","M5","Maori All Blacks",NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"230",23,"Rob Thompson ","M5","Maori All Blacks",29,3,NA,7,2,NA,2,1,NA,NA,NA,NA,NA,"data/html/M5-British & Irish Lions _ Maori All Blacks v British & Irish Lions.html"
"231",15,"Liam Williams","M6","BIL",100,9,5,1,NA,1,3,4,1,2,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"232",14,"Jack Nowell","M6","BIL",57,7,3,2,1,NA,1,6,NA,1,3,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"233",13,"Jared Payne","M6","BIL",61,11,8,7,NA,1,1,1,NA,1,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"234",12,"Robbie Henshaw","M6","BIL",18,9,7,12,2,2,2,2,NA,NA,1,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"235",11,"Elliot Daly","M6","BIL",46,5,3,8,1,NA,2,3,NA,NA,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"236",10,"Dan Biggar","M6","BIL",9,5,27,10,3,1,1,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"237",9,"Greig Laidlaw","M6","BIL",14,5,84,9,4,NA,2,1,NA,1,1,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"238",1,"Joe Marler","M6","BIL",9,6,NA,11,3,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"239",2,"Rory Best","M6","BIL",11,11,4,9,3,1,2,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"240",3,"Dan Cole","M6","BIL",2,6,2,11,NA,1,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"241",4,"Iain Henderson","M6","BIL",1,3,5,12,2,2,NA,NA,1,NA,NA,4,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"242",5,"Courtney Lawes","M6","BIL",13,8,7,9,1,NA,1,2,NA,1,NA,4,1,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"243",6,"James Haskell","M6","BIL",19,10,1,14,1,1,NA,NA,NA,1,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"244",7,"Justin Tipuric","M6","BIL",12,5,6,19,NA,1,1,1,NA,NA,1,3,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"245",8,"CJ Stander","M6","BIL",42,15,8,14,2,2,NA,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"246",16,"Kristian Dacey","M6","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"247",17,"Allan Dell","M6","BIL",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"248",18,"Tomas Francis","M6","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"249",19,"Cory Hill","M6","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"250",20,"Alun Wyn Jones","M6","BIL",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"251",21,"Gareth Davies","M6","BIL",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"252",22,"Finn Russell","M6","BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"253",23,"Tommy Seymour","M6","BIL",38,3,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"254",15,"Shaun Stevenson","M6","Chiefs",52,9,5,2,1,NA,4,5,NA,2,1,1,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"255",14,"Toni Pulu ","M6","Chiefs",16,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"256",13,"Tim Nanai-Williams","M6","Chiefs",40,14,11,6,3,NA,2,2,NA,2,1,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"257",12,"Jonathan Faauli","M6","Chiefs",21,10,8,5,5,NA,1,NA,NA,1,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"258",11,"Solomona Alaimalo ","M6","Chiefs",17,5,1,5,1,1,1,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"259",10,"Stephen Donald","M6","Chiefs",19,8,25,9,2,NA,2,1,NA,1,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"260",9,"Finlay Christie ","M6","Chiefs",33,7,41,9,3,NA,NA,4,NA,1,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"261",1,"Siegfried Fisi'ihoi ","M6","Chiefs",21,4,3,10,NA,NA,2,2,NA,NA,2,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"262",2,"Liam Polwart ","M6","Chiefs",NA,1,2,8,1,NA,2,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"263",3,"Nepo Laulala ","M6","Chiefs",2,2,3,7,1,NA,1,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"264",4,"Dominic Bird","M6","Chiefs",4,8,2,10,NA,NA,NA,1,NA,NA,NA,6,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"265",5,"Michael Allardice ","M6","Chiefs",1,5,NA,6,NA,NA,1,NA,NA,NA,NA,2,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"266",6,"Mitchell Brown","M6","Chiefs",1,9,2,16,2,2,2,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"267",7,"Lachlan Boshier","M6","Chiefs",12,5,4,11,1,2,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"268",8,"Tom Sanders ","M6","Chiefs",14,3,3,6,1,NA,1,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"269",16,"Hikawera Elliot ","M6","Chiefs",22,8,6,2,NA,NA,1,2,NA,1,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"270",17,"Aidan Ross ","M6","Chiefs",5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"271",18,"Atunaisa Moli ","M6","Chiefs",8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"272",19,"Liam Messam ","M6","Chiefs",16,6,2,3,NA,NA,1,1,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"273",20,"Mitch Karpik ","M6","Chiefs",36,4,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"274",21,"Jonathan Taumateine ","M6","Chiefs",5,2,31,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"275",22,"Luteru Laulala ","M6","Chiefs",39,4,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"276",23,"Chase Tiatia ","M6","Chiefs",57,8,6,3,2,NA,1,1,NA,1,NA,NA,NA,"data/html/M6-British & Irish Lions _ Chiefs v British & Irish Lions.htm"
"277",15,"Liam Williams","M7","BIL",68,8,4,8,1,1,4,3,NA,1,2,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"278",14,"Anthony Watson","M7","BIL",50,8,5,3,1,NA,2,3,NA,2,2,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"279",13,"Jonathan Davies","M7","BIL",85,9,6,6,2,NA,NA,3,1,3,5,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"280",12,"Ben Te'o","M7","BIL",14,9,2,6,NA,1,1,NA,NA,2,NA,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"281",11,"Elliot Daly","M7","BIL",53,8,2,2,1,NA,2,3,NA,NA,2,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"282",10,"Owen Farrell","M7","BIL",7,8,23,11,2,NA,NA,NA,NA,NA,NA,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"283",9,"Conor Murray","M7","BIL",30,3,50,15,3,NA,2,1,NA,NA,2,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"284",1,"Mako Vunipola","M7","BIL",3,7,1,12,2,1,1,2,NA,NA,NA,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"285",2,"Jamie George","M7","BIL",5,7,2,20,2,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"286",3,"Tadhg Furlong","M7","BIL",2,3,2,9,NA,NA,1,NA,NA,NA,NA,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"287",4,"Alun Wyn Jones","M7","BIL",1,2,1,11,NA,NA,1,NA,NA,1,NA,3,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"288",5,"George Kruis","M7","BIL",5,5,4,16,3,NA,3,1,NA,NA,NA,1,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"289",6,"Peter O'Mahony","M7","BIL",3,2,1,13,1,NA,1,NA,NA,NA,NA,5,1,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
"290",7,"Sean O'Brien","M7","BIL",37,8,3,10,1,1,NA,1,NA,NA,1,NA,NA,"data/html/M7-British & Irish Lions _ New Zealand v British & Irish Lions – 1st Test.htm"
